_timestamp,02_timing/step_time_s,memory/total_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,_runtime,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,01_general/step,02_timing/loss_calc_time_s,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,memory/used_memory_sys_MB,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,01_general/step_based_sps,memory/available_memory_sys_MB,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_time_s,disk/time/disk_read_time_sys_s,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits
1680785053.0,0.3949405870000646,,,,,7.24951171875,,,,,,,117,,,4000.0,,,,,,,,242,0.0001,124.0,,,,,,,,,81.02484539021249,,,,0.004391249000036623,,0.0,,,
1680785054.0,,,5.0,78028.0,10.625,,1.3479999999999848,0.005321031999983461,1510.0,0.0,2.654208,22875.50464,118,12.9,638.0,,,0.3611558420000165,2.1140000399100245e-06,0.6619999999993524,13.5,0.0,7.75,243,,,0.0008169280000629442,146773.0,812.249088,3490.480128,257.0,0.008170907962867919,27.043343450235074,0.025089577000017016,,27494.350848,3320.598528,3275.65312,,0.005000000000000782,,95674.0,0.0,0.02831091938301352
1680785054.0,0.3967040390001557,,,,,7.2078857421875,,,,,,,118,,,4032.0,,,,,,,,244,0.0001,125.0,,,,,,,,,80.66466900778754,,,,0.004318546000035894,,0.0,,,
1680785055.0,,,5.0,78684.0,10.625,,1.3559999999999945,0.006229522000012366,1519.0,0.0,2.654208,22875.50464,119,12.9,640.0,,,0.3531043010000303,2.1170000081838225e-06,0.6639999999997599,13.5,0.0,7.75,245,,,0.0007876100000885344,147980.0,812.249088,3490.525184,260.0,0.008170744747367908,36.80185619901536,0.030887804000030883,,27494.301696,3320.598528,3275.65312,,0.005000000000000782,,96458.0,0.0,0.2434227636456167
1680785055.0,0.39625537200015515,,,,,7.2183837890625,,,,,,,119,,,4064.0,,,,,,,,246,0.0001,126.0,,,,,,,,,80.75600297473689,,,,0.005244017999984862,,0.0,,,
1680785056.0,0.39688066000007893,,,,,7.1328125,,0.006236904000047616,,,,,120,,,4096.0,,0.35732163700004094,1.9189999420632375e-06,,,,,247,0.0001,127.0,0.0007341190000715869,,,,,,,0.02719029299998965,80.62877137926962,,,,0.005395787999987078,,0.0,,,
1680785056.0,,,5.0,79422.0,10.625,,1.3719999999999857,0.005405492000022605,1537.0,0.0,2.654208,22875.50464,120,12.8,643.0,,,,,0.6659999999992579,13.5,0.0,7.75,248,,,0.0007461729999249656,149289.0,812.249088,3488.575488,261.0,0.012257796101863993,29.702188144648137,0.026073243999917395,,27515.523072,3320.598528,3275.65312,,0.005000000000000782,,97318.0,0.0,0.028186546769888115
1680785057.0,0.3952479169997787,,,,,7.0802001953125,,,,,,,121,,,4128.0,,0.3585535439999603,2.432999963275506e-06,,,,,249,0.0001,128.0,,,,,,,,,80.96184350041221,,,,0.004467030999990129,,0.0,,,
1680785057.0,,,5.0,80172.0,10.625,,1.3880000000000052,0.005405093000035777,1556.0,0.0,2.654208,22875.50464,121,12.9,647.0,,,,,0.668999999999869,13.5,0.0,7.75,250,,,0.000775214999976015,150766.0,812.249088,3487.04768,264.0,0.04494567996137026,46.03155865217015,0.02733710599989081,,27497.7792,3320.598528,3275.65312,,0.005000000000000782,,98304.0,0.0,0.042008888373886104
1680785058.0,0.39588335799987817,,,,,7.14892578125,,,,,,,122,,,4160.0,,0.357793982999965,1.8839999711417477e-06,,,,,251,0.0001,129.0,,,,,,,,,80.83188988209463,,,,0.004570077000039419,,0.0,,,
1680785058.0,,,5.0,80695.0,10.625,,1.3959999999999866,0.0055188270000599005,1567.0,0.0,2.654208,22875.50464,122,12.9,649.0,,,,,0.6699999999991633,13.5,0.0,7.75,252,,,0.0007728410000709118,151926.0,812.249088,3489.980416,265.0,0.008170360050915983,28.10043740642315,0.026789179000047625,,27494.842368,3320.598528,3275.65312,,0.005000000000000782,,99129.0,0.0,0.04254332010293249
