03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,_step,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,_runtime,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_samples_per_second
2,,718.168914243,1680693202.0,2.0,2.0,,0.0,,,1728.0,39.72,1568.0,10.0,2,0,,,718.168914243,96,0.0,4241,160,4160,350.62,,362.68
2,,722.6132515719747,1680693204.0,2.0,2.0,,0.0,,,2144.0,38.19,2016.0,10.0,2,0,,,722.6132515719747,97,0.0,5169,162,5056,360.36,,357.81
2,,723.6836329395568,1680693205.0,2.0,2.0,,0.0,,,2592.0,36.95,2464.0,10.0,2,0,,,723.6836329395568,98,0.0,6027,163,5952,362.34,,360.27
2,,724.0953440604178,1680693206.0,2.0,2.0,,0.0,,,3040.0,35.74,2912.0,10.0,2,0,,,724.0953440604178,99,0.0,6890,164,6784,362.11,,361.57
2,,724.3274383146176,1680693207.0,2.0,2.0,,0.0,,,3456.0,34.54,3328.0,10.0,2,0,,,724.3274383146176,100,0.0,7749,165,7648,362.48,,361.62
2,,724.1848305342896,1680693208.0,2.0,2.0,,0.0,,,3904.0,33.36,3744.0,10.0,2,0,,,724.1848305342896,101,0.0,8609,166,8512,362.6,,361.73
2,,725.0470277605067,1680693210.0,2.0,2.0,,0.0,,,4320.0,32.13,4192.0,10.0,2,0,,,725.0470277605067,102,0.0,9472,168,9376,363.2,,360.99
2,,723.63162113916,1680693211.0,2.0,2.0,,0.0,,,4768.0,31.01,4608.0,10.0,2,0,,,723.63162113916,103,0.0,10331,169,10240,363.1,,361.94
2,,723.5938872522324,1680693212.0,2.0,2.0,,0.0,,,5184.0,29.82,5056.0,10.0,2,0,,,723.5938872522324,104,0.0,11189,170,11072,363.29,,360.35
2,,723.7013704515349,1680693213.0,2.0,2.0,,0.0,,,5600.0,28.63,5472.0,10.0,2,0,,,723.7013704515349,105,0.0,12051,171,11968,362.46,,361.13
2,,723.1636291584175,1680693214.0,2.0,2.0,,0.0,,,6048.0,27.46,5920.0,10.0,2,0,,,723.1636291584175,106,0.0,12910,172,12800,362.4,,361.3
2,,722.3366971925097,1680693215.0,2.0,2.0,,0.0,,,6464.0,26.3,6336.0,10.0,2,0,,,722.3366971925097,107,0.0,13768,173,13696,362.01,,361.15
2,,722.6204980691834,1680693217.0,2.0,2.0,,0.0,,,6912.0,25.11,6784.0,10.0,2,0,,,722.6204980691834,108,0.0,14626,175,14528,361.72,,360.62
2,,722.3638151145369,1680693218.0,2.0,2.0,,0.0,,,7328.0,23.92,7200.0,9.57,2,0,,,722.3638151145369,109,0.0,15487,176,15392,362.31,,360.31
2,,722.6112677128331,1680693219.0,2.0,2.0,,0.0,,,7744.0,22.73,7648.0,9.09,2,0,,,722.6112677128331,110,0.0,16346,177,16256,361.55,,360.81
2,,723.1297239369551,1680693220.0,2.0,2.0,,0.0,,,8192.0,21.52,8064.0,8.61,2,0,,,723.1297239369551,111,0.0,17204,178,17088,361.56,,361.05
2,,723.0444489772788,1680693221.0,2.0,2.0,,0.0,,,8608.0,20.34,8480.0,8.13,2,0,,,723.0444489772788,112,0.0,18063,179,17984,361.68,,361.45
2,,723.0886711341328,1680693223.0,2.0,2.0,,0.0,,,9056.0,19.15,8928.0,7.66,2,0,,,723.0886711341328,113,0.0,18924,181,18816,362.36,,360.68
