04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,_step,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second
2.0,,0.0,,91.1,182.02438605170966,2,3.84,2,,,9.59,6446,1680687909.0,,0,0.0,3104.0,3104.0,2.0,,113,6400,182.02438605170966,177,,90.98
2.0,,0.0,,91.05,182.0691432975545,2,3.36,2,,,8.4,6662,1680687910.0,,0,0.0,3200.0,3200.0,2.0,,114,6592,182.0691432975545,178,,90.97
2.0,,0.0,,91.08,181.89729153085787,2,2.89,2,,,7.23,6877,1680687911.0,,0,0.0,3296.0,3296.0,2.0,,115,6848,181.89729153085787,179,,90.99
2.0,,0.0,,91.03,181.89994791726684,2,2.42,2,,,6.04,7092,1680687912.0,,0,0.0,3424.0,3424.0,2.0,,116,7040,181.89994791726684,180,,90.87
2.0,,0.0,,91.04,181.9092667076268,2,1.94,2,,,4.86,7309,1680687914.0,,0,0.0,3520.0,3520.0,2.0,,117,7232,181.9092667076268,182,,90.86
2.0,,0.0,,91.04,181.79258921723562,2,1.47,2,,,3.68,7523,1680687915.0,,0,0.0,3616.0,3616.0,2.0,,118,7488,181.79258921723562,183,,90.87
2.0,,0.0,,90.95,181.7278816886916,2,1.0,2,,,2.5,7739,1680687916.0,,0,0.0,3744.0,3744.0,2.0,,119,7680,181.7278816886916,184,,90.84
2.0,,0.0,,90.98,181.61750030600012,2,0.52,2,,,1.31,7954,1680687917.0,,0,0.0,3840.0,3840.0,2.0,,120,7936,181.61750030600012,185,,90.75
2.0,,0.0,,90.96,181.4975777484903,2,0.5,2,,,0.13,8169,1680687918.0,,0,0.0,3968.0,3968.0,2.0,,121,8128,181.4975777484903,186,,90.66
2.0,,0.0,,90.92,181.55429394712303,2,0.5,2,,,0.0,8385,1680687919.0,,0,0.0,4064.0,4064.0,2.0,,122,8224,181.55429394712303,187,,90.57
2.0,,0.0,,90.96,181.55429394712303,2,0.5,2,,,0.0,8600,1680687921.0,,0,0.0,4128.0,4096.0,2.0,,123,8224,181.55429394712303,189,,90.6
2.0,,0.0,,90.96,181.55429394712303,2,0.5,2,,,0.0,8816,1680687922.0,,0,0.0,4128.0,4096.0,2.0,,124,8224,181.55429394712303,190,,90.6
