_runtime,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s
139,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,58747,,120.82,87,1681407175.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
140,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,60555,,120.82,88,1681407176.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
141,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,62355,,120.82,89,1681407177.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
142,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,64165,,120.82,90,1681407178.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
144,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,65957,,120.82,91,1681407180.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
145,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,67764,,120.82,92,1681407181.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
146,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,69582,,120.82,93,1681407182.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
147,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,71389,,120.82,94,1681407183.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
148,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,73195,,120.82,95,1681407184.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
149,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,75000,,120.82,96,1681407185.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
150,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,76822,,120.82,97,1681407186.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
151,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,78618,,120.82,98,1681407187.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
152,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,80429,,120.82,99,1681407188.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
153,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,82240,,120.82,100,1681407189.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
154,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,84042,,120.82,101,1681407190.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
155,,1.0,0.0,1.0,0.5,119.12,1718.444690379196,0,2240.0,28160.0,2272.0,1718.444690379196,3,,85845,,120.82,102,1681407191.0,1.0,,1,0.0,,,0.0,1478.51,32672,,0.0
