_timestamp,03_hivemind/overshot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,_step,04_peers/peer_1_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated
1681401995.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,177024,173,0.0,,244.58,32672,0.5,94,0.0,,1485.05,10144.0,22528.0
1681401996.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,179081,174,0.0,,244.58,32672,0.5,95,0.0,,1485.05,10144.0,22528.0
1681401997.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,181132,175,0.0,,244.58,32672,0.5,96,0.0,,1485.05,10144.0,22528.0
1681401999.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,183201,177,0.0,,244.58,32672,0.5,97,0.0,,1485.05,10144.0,22528.0
1681402000.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,185258,178,0.0,,244.58,32672,0.5,98,0.0,,1485.05,10144.0,22528.0
1681402001.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,187320,179,0.0,,244.58,32672,0.5,99,0.0,,1485.05,10144.0,22528.0
1681402002.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,189376,180,0.0,,244.58,32672,0.5,100,0.0,,1485.05,10144.0,22528.0
1681402003.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,191423,181,0.0,,244.58,32672,0.5,101,0.0,,1485.05,10144.0,22528.0
1681402005.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,193483,183,0.0,,244.58,32672,0.5,102,0.0,,1485.05,10144.0,22528.0
1681402006.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,195534,184,0.0,,244.58,32672,0.5,103,0.0,,1485.05,10144.0,22528.0
1681402007.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,197583,185,0.0,,244.58,32672,0.5,104,0.0,,1485.05,10144.0,22528.0
1681402008.0,,,1729.6379166452734,1729.6379166452734,2,,0.0,,0,,0.0,0,0.0,199634,186,0.0,,244.58,32672,0.5,105,0.0,,1485.05,10144.0,22528.0
