03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/num_clients,03_hivemind/next_fetch_time_s,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos
2,3.0,937.1474091923542,160,0.0,3.0,3,,433.38,0,0.5,,,,43214,0,,0.0,503.76,0.0,104,,0.0,,937.1474091923542,1680689004.0,0.0
2,3.0,937.1474091923542,161,0.0,3.0,3,,433.38,0,0.5,,,,44172,0,,0.0,503.76,0.0,105,,0.0,,937.1474091923542,1680689005.0,0.0
2,3.0,937.1474091923542,162,0.0,3.0,3,,433.38,0,0.5,,,,45130,0,,0.0,503.76,0.0,106,,0.0,,937.1474091923542,1680689006.0,0.0
2,3.0,937.1474091923542,163,0.0,3.0,3,,433.38,0,0.5,,,,46088,0,,0.0,503.76,0.0,107,,0.0,,937.1474091923542,1680689007.0,0.0
2,3.0,937.1474091923542,164,0.0,3.0,3,,433.38,0,0.5,,,,47051,0,,0.0,503.76,0.0,108,,0.0,,937.1474091923542,1680689008.0,0.0
2,3.0,937.1474091923542,165,0.0,3.0,3,,433.38,0,0.5,,,,48003,0,,0.0,503.76,0.0,109,,0.0,,937.1474091923542,1680689009.0,0.0
2,3.0,937.1474091923542,166,0.0,3.0,3,,433.38,0,0.5,,,,48959,0,,0.0,503.76,0.0,110,,0.0,,937.1474091923542,1680689010.0,0.0
2,3.0,937.1474091923542,167,0.0,3.0,3,,433.38,0,0.5,,,,49920,0,,0.0,503.76,0.0,111,,0.0,,937.1474091923542,1680689011.0,0.0
2,3.0,937.1474091923542,168,0.0,3.0,3,,433.38,0,0.5,,,,50883,0,,0.0,503.76,0.0,112,,0.0,,937.1474091923542,1680689012.0,0.0
2,3.0,937.1474091923542,169,0.0,3.0,3,,433.38,0,0.5,,,,51841,0,,0.0,503.76,0.0,113,,0.0,,937.1474091923542,1680689013.0,0.0
